1,1.292
2,1.2945
3,1.2932
4,1.2929
5,1.2921
6,1.2914
7,1.2916
8,1.2915
9,1.2917
10,1.2915
11,1.291
12,1.2904
13,1.2898
14,1.2891
15,1.2886
16,1.288
17,1.2869
18,1.2849
19,1.2826
20,1.1094
21,1.1081
22,1.1077
23,1.1098
24,1.1124
25,1.2844
26,1.2849
27,1.2848
28,1.284
29,1.2836
30,1.2833
31,1.2823
32,1.2816
33,1.2801
34,1.2793
35,1.2793
36,1.2789
37,1.2783
38,1.2773
39,1.2765
40,1.2769
41,1.2787
42,1.2809
43,1.284
44,1.2855
45,1.2868
46,1.2876
47,1.2882
48,1.2887
49,1.289
50,1.2893
51,1.2878
52,1.2847
53,1.2811
54,1.2769
55,1.2751
56,1.2755
57,1.2745
58,1.2743
59,1.2743
60,1.2729
61,1.272
62,1.2716
63,1.27
64,1.2695
65,1.2678
66,1.2671
67,1.2676
68,1.2676
69,1.2671
70,1.2661
71,1.2667
72,1.2688
73,1.2735
74,1.278
75,1.283
76,1.2846
77,1.2858
78,1.2857
79,1.2854
80,1.2852
81,1.2849
82,1.2847
83,1.2845
84,1.2845
85,1.2818
86,1.2787
87,1.2753
88,1.2719
89,1.2699
90,1.2695
91,1.2682
92,1.2672
93,1.2658
94,1.2646
95,1.2252
96,1.2247
97,1.2245
98,1.2245
99,1.2232
100,1.263
101,1.2639
102,1.2633
103,1.2629
104,1.2617
105,1.2612
106,1.2623
107,1.262
108,1.2623
109,1.2649
110,1.2657
111,1.2659
112,1.2689
113,1.2715
114,1.2723
115,1.2727
116,1.2732
117,1.2736
118,1.2739
119,1.2741
120,1.2742
121,1.2741
122,1.2761
123,1.2785
124,1.2775
125,1.2767
126,1.2755
127,1.2725
128,1.2703
129,1.2689
130,1.2668
131,1.2646
132,1.2618
133,1.2599
134,1.2599
135,1.2585
136,1.2581
137,1.2577
138,1.2569
139,1.2574
140,1.2568
141,1.2556
142,1.255
143,1.2509
144,1.2485
145,1.2499
146,1.2487
147,1.2468
148,1.2466
149,1.2453
150,1.2016
151,1.2034
152,1.2043
153,1.2051
154,1.2054
155,1.2471
156,1.2474
157,1.2487
158,1.2486
159,1.2479
160,1.2472
161,1.2461
162,1.2458
163,1.2453
164,1.2447
165,1.2441
166,1.2424
167,1.2418
168,1.2422
169,1.2416
170,1.2412
171,1.2412
172,1.2407
173,1.2414
174,1.2432
175,1.2451
176,1.247
177,1.2481
178,1.2489
179,1.2496
180,1.2501
181,1.2504
182,1.2506
183,1.2506
184,1.2507
185,1.2483
186,1.2456
187,1.243
188,1.24
189,1.2385
190,1.2389
191,1.2383
192,1.2382
193,1.2382
194,1.2376
195,1.2381
196,1.2381
197,1.2378
198,1.2378
199,1.2398
200,1.241
201,1.2449
202,1.2489
203,1.2503
204,1.2488
205,1.2476
206,1.2456
207,1.2442
208,1.2454
209,1.2466
210,1.2479
211,1.2488
212,1.2489
213,1.2489
214,1.2487
215,1.2484
216,1.2482
217,1.248
218,1.2479
219,1.246
220,1.2434
221,1.2407
222,1.2376
223,1.2362
224,1.2369
225,1.2361
226,1.2353
227,1.235
228,1.2338
229,1.2333
230,1.1955
231,1.1952
232,1.1951
233,1.1938
234,1.1518
235,1.191
236,1.1914
237,1.1907
238,1.1902
239,1.2274
240,1.2258
241,1.2261
242,1.2234
243,1.2206
244,1.2197
245,1.217
246,1.2156
247,1.2186
248,1.2219
249,1.2255
250,1.2298
251,1.2338
252,1.235
253,1.2342
254,1.2333
255,1.2296
256,1.2269
257,1.2271
258,1.2251
259,1.2231
260,1.2219
261,1.217
262,1.2126
263,1.214
264,1.1742
265,1.1726
266,1.1719
267,1.1698
268,1.1675
269,1.208
270,1.208
271,1.2074
272,1.2068
273,1.2043
274,1.203
275,1.2038
276,1.2031
277,1.2036
